xs,ys,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33
124.835165,111.692308,0.001,0,0.091,0,0,0,0,0.247,0,0,0,0.053,0.007,0,0,0,0.111,0.012,0,0,0.046,0.002,0,0.003,0.033,0,0,0.07,0,0.053,0.033,0.011,0.003
104.451327,86.415929,0.002,0,0.08,0,0,0,0,0.245,0,0,0,0.053,0.006,0,0,0,0.096,0.011,0,0,0.059,0.003,0,0.006,0.043,0,0,0.062,0,0.06,0.033,0.021,0.01
82.902174,61.891304,0.002,0,0.08,0,0,0,0,0.237,0,0,0,0.054,0.01,0,0,0,0.109,0.007,0,0,0.068,0.003,0,0.001,0.049,0,0,0.063,0,0.059,0.039,0.016,0.006
62.571429,38.196429,0.004,0,0.087,0,0,0,0,0.248,0,0,0,0.058,0.013,0,0,0,0.108,0.012,0,0,0.075,0.002,0,0.001,0.054,0,0,0.051,0,0.038,0.039,0.018,0.013
45.075269,17.44086,0.004,0,0.111,0,0,0,0,0.251,0,0,0,0.058,0.01,0,0,0,0.09,0.01,0,0,0.061,0.003,0,0.006,0.053,0,0,0.066,0,0.051,0.023,0.024,0.009
29.072072,-2.630631,0.004,0,0.106,0,0,0,0,0.243,0,0,0,0.058,0.011,0,0,0,0.101,0.007,0,0,0.069,0.003,0.001,0.003,0.056,0.001,0,0.055,0,0.052,0.035,0.022,0.005
14.129032,-18.903226,0.003,0,0.094,0,0,0,0,0.237,0,0,0,0.059,0.008,0,0,0,0.1,0.007,0,0,0.079,0.004,0,0.006,0.057,0,0,0.058,0,0.056,0.04,0.016,0.012
1.774775,-31.540541,0.002,0,0.103,0,0,0,0,0.259,0,0,0,0.048,0.019,0,0,0,0.101,0.012,0,0,0.056,0.003,0.002,0.008,0.044,0.002,0,0.059,0,0.048,0.046,0.017,0.01
-9.255319,-44.244681,0.004,0,0.078,0,0,0,0,0.289,0,0,0,0.055,0.009,0,0,0,0.108,0.012,0,0,0.058,0.003,0,0.005,0.049,0.001,0,0.053,0,0.055,0.05,0.015,0.01
-16.354545,-52.354545,0.002,0,0.067,0,0,0,0,0.274,0,0,0,0.074,0.012,0,0,0,0.102,0.012,0,0,0.069,0,0.001,0.007,0.055,0,0,0.053,0,0.062,0.042,0.019,0.012
-25.189474,-58.094737,0.005,0,0.065,0,0,0,0,0.282,0,0,0,0.058,0.019,0,0,0,0.105,0.02,0,0,0.065,0.002,0.002,0.006,0.052,0.003,0,0.064,0,0.067,0.047,0.015,0.014
-30.820755,-62.584906,0.009,0,0.069,0,0,0,0,0.288,0,0,0,0.065,0.01,0,0,0,0.116,0.013,0,0,0.076,0.001,0.003,0.003,0.064,0.001,0,0.073,0,0.062,0.031,0.018,0.013
-34.125,-64,0.004,0,0.069,0,0,0,0,0.285,0,0,0,0.069,0.013,0,0,0,0.116,0.02,0,0,0.08,0.003,0.001,0.008,0.054,0.001,0,0.054,0,0.056,0.05,0.02,0.01
-37.153846,-64,0.008,0,0.074,0,0,0,0,0.301,0,0,0,0.064,0.013,0,0,0,0.097,0.018,0,0,0.073,0.005,0.002,0,0.06,0.001,0,0.05,0,0.062,0.043,0.028,0.025
-39.595506,-62.752809,0.007,0,0.074,0,0,0,0,0.295,0,0,0,0.063,0.011,0,0,0,0.107,0.02,0,0,0.091,0.002,0.001,0.006,0.064,0.001,0,0.041,0,0.068,0.038,0.02,0.013
-38.245614,-61,0.008,0,0.088,0,0,0,0,0.269,0,0,0,0.076,0.01,0,0,0,0.083,0.015,0,0,0.084,0.003,0.001,0.008,0.077,0.001,0,0.044,0,0.061,0.05,0.016,0.012
-34.444444,-62.9,0.01,0,0.096,0,0,0,0,0.269,0,0,0,0.079,0.008,0,0,0,0.092,0.012,0,0,0.083,0.005,0.001,0.009,0.067,0.002,0,0.048,0,0.059,0.04,0.019,0.015
-25.701754,-68.131579,0.004,0,0.102,0,0,0,0,0.268,0,0,0,0.079,0.015,0,0,0,0.098,0.011,0,0,0.069,0.002,0.001,0.008,0.072,0.001,0,0.054,0,0.058,0.037,0.011,0.012
-11.802198,-78.054945,0.006,0,0.074,0,0,0,0,0.261,0,0,0,0.06,0.009,0,0,0,0.119,0.004,0,0,0.078,0.004,0.002,0.007,0.068,0.001,0,0.06,0,0.066,0.049,0.023,0.019
4.45614,-91.298246,0.009,0,0.088,0,0,0,0,0.274,0,0,0,0.053,0.01,0,0,0,0.137,0.011,0,0.001,0.065,0.001,0,0.004,0.054,0,0,0.078,0,0.066,0.042,0.022,0.015
25.898876,-106.539326,0.007,0,0.069,0,0,0,0,0.29,0,0,0,0.059,0.006,0,0,0,0.172,0.017,0,0,0.046,0.001,0.001,0.001,0.043,0.001,0,0.121,0,0.062,0.035,0.016,0.005
48.723214,-125.151786,0.001,0,0.054,0,0,0,0,0.333,0,0,0,0.051,0.01,0,0,0,0.179,0.013,0,0,0.033,0.002,0,0.001,0.041,0.001,0,0.107,0,0.047,0.038,0.02,0.009
73.842697,-145.146067,0.008,0,0.034,0,0,0,0,0.337,0,0,0,0.04,0.007,0,0,0,0.189,0.018,0,0,0.033,0.001,0.002,0.002,0.03,0.001,0,0.144,0,0.041,0.031,0.013,0.003
99.981982,-164.90991,0.009,0,0.022,0,0,0,0,0.397,0,0,0,0.041,0.005,0,0,0,0.237,0.013,0,0,0.024,0,0,0.001,0.015,0.001,0,0.132,0,0.025,0.024,0.006,0.003
124.833333,-187.033333,0.006,0,0.007,0,0,0,0,0.375,0,0,0,0.02,0,0,0,0,0.209,0.015,0,0,0.029,0.001,0,0.001,0.008,0,0,0.137,0,0.023,0.024,0.005,0.002
150.675676,-205.900901,0.009,0,0.004,0,0,0,0,0.337,0,0,0,0.028,0,0,0,0,0.237,0.016,0,0,0.005,0,0,0,0.003,0,0,0.143,0,0.028,0.019,0.004,0.001
174.166667,-225.766667,0.004,0,0.009,0,0,0,0,0.369,0,0,0,0.057,0,0,0,0,0.194,0.011,0,0,0.004,0,0,0,0.002,0,0,0.138,0,0.06,0.036,0.005,0.002
196.559633,-241.229358,0.004,0,0.021,0,0,0,0,0.357,0,0,0,0.073,0,0,0,0,0.191,0.009,0,0,0.006,0.003,0,0,0.009,0,0,0.099,0,0.063,0.041,0.007,0.005
216.244444,-258.3,0.004,0,0.017,0,0,0,0,0.343,0,0,0,0.083,0.001,0,0,0,0.173,0.012,0,0,0.007,0,0,0,0.011,0,0,0.099,0,0.047,0.045,0.003,0.004
233.472222,-268.990741,0.003,0,0.018,0,0,0,0,0.3,0,0,0,0.068,0.002,0,0,0,0.158,0.006,0,0,0.013,0,0,0.001,0.006,0,0,0.121,0,0.044,0.027,0.001,0.009
249.771739,-281.326087,0.007,0,0.017,0,0,0,0,0.268,0,0,0,0.063,0.002,0,0,0,0.119,0.012,0,0,0.012,0,0,0,0.004,0,0,0.104,0,0.033,0.036,0,0.004
261.972222,-287.222222,0.006,0,0.011,0,0,0,0,0.264,0,0,0,0.028,0.002,0,0,0,0.116,0.014,0,0,0.012,0,0.001,0.002,0.006,0,0,0.094,0,0.024,0.017,0.003,0.006
272.384615,-292.483516,0.009,0,0.017,0,0,0,0,0.246,0,0,0,0.024,0.003,0,0,0,0.12,0.015,0,0,0.011,0.001,0,0.004,0.009,0,0,0.083,0,0.019,0.03,0.008,0.005
280.245455,-295.6,0.005,0,0.028,0,0,0,0,0.237,0,0,0,0.033,0.004,0,0,0,0.112,0.013,0,0,0.017,0,0,0.002,0.01,0,0,0.076,0,0.027,0.025,0.004,0.007
287.956522,-296,0.004,0,0.032,0,0,0,0,0.216,0,0,0,0.038,0.007,0,0,0,0.116,0.006,0,0,0.015,0,0,0.002,0.011,0,0,0.072,0,0.037,0.033,0.007,0.009
290.62037,-294.675926,0.007,0,0.031,0,0,0,0,0.244,0,0,0,0.043,0.001,0,0,0,0.122,0.012,0,0,0.016,0.001,0,0.001,0.017,0,0,0.072,0,0.032,0.033,0.01,0.007
294.83871,-289.817204,0.01,0,0.027,0,0,0,0,0.241,0,0,0,0.059,0.004,0,0,0,0.124,0.016,0,0,0.028,0.001,0.002,0.002,0.009,0,0,0.072,0,0.041,0.037,0.005,0.004
296,-285.536364,0.007,0,0.033,0,0,0,0,0.251,0,0,0,0.068,0.002,0,0,0,0.14,0.015,0,0,0.027,0,0.001,0.002,0.014,0,0,0.079,0,0.034,0.024,0.01,0.007
297.129032,-281.516129,0.008,0,0.045,0,0,0,0,0.257,0,0,0,0.066,0.002,0,0,0,0.142,0.02,0,0,0.02,0.001,0,0.002,0.011,0,0,0.08,0,0.045,0.024,0.008,0.007
298.809091,-276.436364,0.007,0,0.036,0,0,0,0,0.27,0,0,0,0.056,0.002,0,0,0,0.165,0.019,0,0,0.026,0.001,0,0,0.008,0,0,0.079,0,0.023,0.018,0.013,0.01
296,-271.870968,0.006,0,0.047,0,0,0,0,0.278,0,0,0,0.057,0.002,0,0,0,0.156,0.015,0,0,0.024,0.001,0.001,0.002,0.015,0,0,0.068,0,0.036,0.015,0.014,0.006
298.916667,-264.583333,0.005,0,0.042,0,0,0,0,0.266,0,0,0,0.061,0.004,0,0,0,0.172,0.016,0,0.001,0.023,0,0,0.002,0.013,0,0,0.063,0,0.029,0.019,0.016,0.008
300.417582,-253.956044,0.003,0,0.034,0,0,0,0,0.275,0,0,0,0.048,0.006,0,0,0,0.173,0.024,0,0,0.022,0,0,0,0.006,0,0,0.067,0,0.038,0.007,0.017,0.012
306.581818,-235.981818,0.005,0,0.049,0,0,0,0,0.256,0,0,0,0.053,0.004,0,0,0,0.177,0.015,0,0,0.022,0,0,0,0.003,0,0,0.067,0,0.043,0.011,0.006,0.002
316.088889,-211.844444,0.004,0,0.054,0,0,0,0,0.223,0,0,0,0.06,0.002,0,0,0,0.142,0.022,0,0,0.036,0,0,0.002,0.005,0,0,0.05,0,0.037,0.017,0.003,0.003
328.759259,-178.490741,0,0,0.046,0,0,0,0,0.221,0,0,0,0.049,0,0,0,0,0.119,0.018,0,0,0.051,0,0,0.002,0.025,0,0,0.042,0,0.036,0.015,0.009,0.002
344.56044,-140.571429,0.002,0,0.016,0,0,0,0,0.19,0,0,0,0.018,0,0,0,0,0.1,0.008,0,0,0.049,0,0,0,0.045,0,0,0.056,0,0.02,0.008,0,0.001
361.64486,-96.53271,0,0,0.02,0,0,0,0,0.143,0,0,0,0.033,0,0,0,0,0.069,0.009,0,0,0.031,0,0,0,0.021,0,0,0.051,0,0.042,0.028,0,0.001
380.348315,-51.123596,0.004,0,0.004,0,0,0,0,0.143,0,0,0,0.021,0.001,0,0,0,0.07,0.002,0,0,0.026,0,0,0.002,0.013,0,0,0.04,0,0.026,0.013,0.001,0
398.009259,-2.490741,0.003,0,0.007,0,0,0,0,0.123,0,0,0,0.026,0.001,0,0,0,0.063,0.005,0,0,0.039,0,0,0,0.021,0,0,0.031,0,0.025,0.018,0.001,0
415.366667,46.911111,0.004,0,0.005,0,0,0,0,0.207,0,0,0,0.019,0,0,0,0,0.167,0.004,0,0,0.027,0,0,0,0.021,0,0,0.079,0,0.03,0.025,0.001,0
431.436364,93.736364,0.001,0,0.011,0,0,0,0,0.35,0,0,0,0.058,0.001,0,0,0,0.209,0.013,0,0,0.028,0,0,0,0.015,0.001,0,0.145,0,0.041,0.031,0.002,0
446.329545,138.863636,0.001,0,0.032,0,0,0,0,0.386,0,0,0,0.078,0,0,0,0,0.158,0.025,0,0,0.034,0,0,0,0.013,0,0,0.108,0,0.061,0.035,0.004,0
461.345133,180.690265,0.001,0,0.038,0,0,0,0,0.296,0,0,0,0.082,0,0,0,0,0.119,0.019,0,0,0.047,0.002,0,0,0.039,0,0,0.054,0,0.114,0.084,0.012,0.002
474.793478,221.434783,0,0,0.04,0,0,0,0,0.232,0,0,0,0.061,0.003,0,0,0,0.106,0.016,0,0,0.028,0,0,0.002,0.016,0,0,0.049,0,0.053,0.035,0.009,0.002
485.04386,254.973684,0.002,0,0.032,0,0,0,0,0.135,0,0,0,0.038,0.002,0,0,0,0.052,0.007,0,0,0.027,0,0,0,0.007,0,0,0.033,0,0.034,0.024,0.005,0.002
493.588889,281.955556,0.001,0,0.035,0,0,0,0,0.173,0,0,0,0.042,0.001,0,0,0,0.087,0.02,0,0,0.025,0,0,0.002,0.014,0,0,0.042,0,0.051,0.031,0.005,0.005
501.921739,308.834783,0.008,0,0.035,0,0,0,0,0.236,0,0,0,0.065,0,0,0,0,0.113,0.023,0,0,0.022,0,0.001,0,0.008,0,0,0.063,0,0.046,0.032,0.003,0.013
508.315217,332.576087,0.009,0,0.026,0,0,0,0,0.24,0,0,0,0.045,0.003,0,0,0,0.144,0.018,0,0,0.02,0,0.001,0.001,0.003,0.002,0,0.079,0,0.045,0.027,0.005,0.007
513,348.026786,0.007,0,0.018,0,0,0,0,0.278,0,0,0,0.042,0,0,0,0,0.154,0.017,0,0,0.009,0,0.001,0,0.001,0,0,0.102,0,0.037,0.028,0.002,0.014
516.752688,358.483871,0.015,0,0.019,0,0,0,0,0.298,0,0,0,0.031,0,0,0,0,0.156,0.011,0,0,0.012,0,0.001,0,0.001,0.004,0,0.121,0,0.027,0.016,0.002,0.011
519,365,0.025,0,0.018,0,0,0,0,0.289,0,0,0,0.038,0,0,0,0,0.163,0.016,0,0,0.006,0,0.001,0.001,0.002,0.001,0,0.131,0,0.036,0.023,0.001,0.016
520.5,367.891304,0.033,0,0.02,0,0,0,0,0.303,0,0,0,0.024,0,0,0,0,0.171,0.011,0,0,0.005,0,0.001,0,0.001,0.002,0,0.123,0,0.028,0.016,0.003,0.015
522.443478,366.53913,0.034,0,0.011,0,0,0,0,0.297,0,0,0,0.035,0.001,0,0,0,0.173,0.01,0,0,0.006,0,0.004,0,0.001,0.005,0,0.122,0,0.025,0.016,0.002,0.018
521.738095,359.309524,0.022,0,0.022,0,0,0,0,0.349,0,0,0,0.028,0,0,0,0,0.16,0.015,0,0,0.004,0,0.004,0.001,0,0.001,0,0.119,0,0.02,0.021,0.005,0.018
519,352.594937,0.03,0,0.021,0,0,0,0,0.307,0,0,0,0.032,0.003,0,0,0,0.191,0.009,0,0,0.001,0,0.001,0,0.004,0.008,0,0.112,0,0.036,0.03,0.004,0.011
518.811024,345.023622,0.037,0,0.028,0,0,0,0,0.262,0,0,0,0.047,0,0,0,0,0.162,0.013,0,0,0.008,0,0.001,0,0,0.006,0,0.133,0,0.036,0.028,0.003,0.021
517.525,335.8,0.026,0,0.025,0,0,0,0,0.308,0,0,0,0.036,0,0,0,0,0.169,0.014,0,0,0.008,0.001,0.003,0.001,0.002,0.002,0,0.122,0,0.048,0.033,0.008,0.018
514.84,328.248,0.024,0,0.023,0,0,0,0,0.312,0,0,0,0.042,0,0,0,0,0.164,0.017,0,0.001,0.009,0.001,0.001,0,0.001,0.003,0,0.133,0,0.038,0.04,0.002,0.018
514,319.463415,0.021,0,0.021,0,0,0,0,0.299,0,0,0,0.043,0.001,0,0,0,0.187,0.021,0,0,0.009,0,0.004,0.001,0.003,0,0,0.113,0,0.031,0.036,0.002,0.013
511.144,311.672,0.025,0,0.021,0,0,0,0,0.299,0,0,0,0.041,0.002,0,0,0,0.173,0.022,0,0,0.012,0,0.002,0,0.001,0.004,0,0.115,0,0.04,0.035,0.004,0.024
507.26506,304.289157,0.015,0,0.026,0,0,0,0,0.302,0,0,0,0.041,0.002,0,0,0,0.18,0.018,0,0,0.013,0,0.006,0.002,0.003,0.004,0,0.107,0,0.04,0.035,0.006,0.015
498.439024,297.365854,0.012,0,0.024,0,0,0,0,0.29,0,0,0,0.043,0.002,0,0,0,0.172,0.026,0,0,0.012,0,0.003,0,0.008,0.001,0,0.104,0,0.053,0.036,0.008,0.01
485.083333,288.107143,0.012,0,0.027,0,0,0,0,0.308,0,0,0,0.055,0.001,0,0,0,0.162,0.018,0,0,0.015,0,0.001,0.002,0.007,0.004,0,0.074,0,0.053,0.031,0.006,0.026
470.040984,282.885246,0.015,0,0.038,0,0,0,0,0.261,0,0,0,0.051,0.003,0,0,0,0.142,0.018,0,0,0.017,0,0,0.002,0.012,0.003,0,0.08,0,0.043,0.037,0.003,0.021
450.883721,275.686047,0.012,0,0.033,0,0,0,0,0.271,0,0,0,0.049,0.003,0,0,0,0.149,0.023,0,0.001,0.023,0,0.002,0.002,0.007,0.002,0,0.068,0,0.036,0.048,0.005,0.021
429.032787,270.286885,0.01,0,0.043,0,0,0,0,0.278,0,0,0,0.067,0.004,0,0,0,0.129,0.018,0,0,0.02,0.002,0.001,0.005,0.009,0.005,0,0.091,0,0.053,0.037,0.007,0.026
405.674419,265.093023,0.012,0,0.063,0,0,0,0,0.281,0,0,0,0.055,0.002,0,0,0,0.141,0.014,0,0,0.021,0,0.002,0.003,0.014,0.003,0,0.059,0,0.062,0.04,0.007,0.033
380.425,261.291667,0.014,0,0.054,0,0,0,0,0.285,0,0,0,0.075,0.003,0,0,0,0.143,0.017,0,0,0.019,0.002,0.002,0.002,0.014,0.001,0,0.076,0,0.058,0.051,0.007,0.019
356.505747,256,0.01,0,0.071,0,0,0,0,0.291,0,0,0,0.068,0.01,0,0,0,0.151,0.027,0,0,0.02,0,0,0,0.015,0.004,0,0.086,0,0.052,0.057,0.014,0.026
333.940171,253.538462,0.008,0,0.063,0,0,0,0,0.314,0,0,0,0.089,0.007,0,0,0,0.131,0.024,0,0,0.024,0.001,0.003,0.004,0.016,0.001,0,0.079,0,0.062,0.059,0.008,0.022
313.696629,248.853933,0.008,0,0.042,0,0,0,0,0.318,0,0,0,0.104,0.002,0,0,0,0.124,0.026,0,0,0.019,0.001,0,0.001,0.019,0.001,0,0.069,0,0.082,0.089,0.008,0.027
293.466102,248,0.007,0,0.054,0,0,0,0,0.349,0,0,0,0.103,0.004,0,0,0,0.125,0.027,0,0,0.017,0.002,0.002,0.002,0.009,0.002,0,0.083,0,0.079,0.074,0.011,0.018
276.539326,244.966292,0.006,0,0.05,0,0,0,0,0.326,0,0,0,0.082,0.008,0,0,0,0.133,0.022,0,0,0.027,0,0.004,0,0.011,0.001,0,0.089,0,0.092,0.087,0.01,0.017
262.601695,243,0.009,0,0.053,0,0,0,0,0.32,0,0,0,0.091,0.003,0,0,0,0.143,0.02,0,0,0.026,0,0.002,0.002,0.022,0,0,0.082,0,0.098,0.06,0.008,0.019
250.758242,243,0.009,0,0.051,0,0,0,0,0.31,0,0,0,0.106,0.004,0,0,0,0.135,0.015,0,0,0.03,0,0.001,0.002,0.021,0.001,0,0.079,0,0.092,0.075,0.015,0.013
241.401709,243,0.005,0,0.063,0,0,0,0,0.295,0,0,0,0.093,0.002,0,0,0,0.149,0.009,0,0.001,0.023,0.002,0.004,0.002,0.011,0,0,0.102,0,0.09,0.064,0.021,0.014
234.637363,243,0.008,0,0.051,0,0,0,0,0.307,0,0,0,0.093,0.005,0,0,0,0.163,0.02,0,0,0.034,0.001,0.002,0.004,0.019,0.001,0,0.106,0,0.069,0.047,0.013,0.016
231.008547,241.512821,0.009,0,0.055,0,0,0,0,0.318,0,0,0,0.072,0.005,0,0,0,0.168,0.016,0,0,0.02,0.003,0.002,0.003,0.012,0.001,0,0.088,0,0.077,0.059,0.022,0.011
228.467391,240,0.012,0,0.056,0,0,0,0,0.326,0,0,0,0.084,0.006,0,0,0,0.149,0.015,0,0,0.03,0.003,0.001,0.002,0.01,0.002,0,0.093,0,0.065,0.065,0.014,0.014
226.258621,241.991379,0.007,0,0.071,0,0,0,0,0.316,0,0,0,0.073,0.008,0,0,0,0.159,0.017,0,0,0.033,0.004,0.002,0.002,0.015,0.001,0,0.087,0,0.061,0.065,0.01,0.016
226.108696,244.108696,0.012,0,0.047,0,0,0,0,0.311,0,0,0,0.07,0.008,0,0,0,0.159,0.021,0,0,0.028,0.002,0.001,0.003,0.022,0.001,0,0.095,0,0.065,0.066,0.016,0.018
227.678261,247.452174,0.01,0,0.047,0,0,0,0,0.312,0,0,0,0.087,0.004,0,0,0,0.154,0.014,0,0,0.028,0.005,0.002,0.004,0.021,0.003,0,0.092,0,0.075,0.066,0.015,0.019
230,248.382022,0.009,0,0.05,0,0,0,0,0.304,0,0,0,0.073,0.005,0,0,0,0.178,0.026,0,0,0.026,0.004,0.002,0.006,0.018,0.002,0,0.089,0,0.074,0.061,0.012,0.013
230.864407,250,0.013,0,0.039,0,0,0,0,0.322,0,0,0,0.067,0.008,0,0,0,0.161,0.018,0,0,0.025,0.001,0.005,0.005,0.015,0.002,0,0.102,0,0.087,0.05,0.016,0.012
233.846154,252.406593,0.006,0,0.055,0,0,0,0,0.355,0,0,0,0.078,0.005,0,0,0,0.132,0.025,0,0,0.021,0.001,0.002,0.001,0.009,0.002,0,0.084,0,0.094,0.061,0.017,0.016
237.205128,253,0.005,0,0.052,0,0,0,0,0.357,0,0,0,0.073,0.003,0,0,0,0.136,0.025,0,0,0.028,0.001,0.001,0.002,0.014,0.003,0,0.078,0,0.078,0.062,0.015,0.022
239.868132,255.538462,0.007,0,0.05,0,0,0,0,0.349,0,0,0,0.085,0.006,0,0,0,0.162,0.02,0,0,0.033,0,0.001,0.002,0.023,0,0,0.083,0,0.064,0.05,0.012,0.018
242.586207,256,0.008,0,0.058,0,0,0,0,0.346,0,0,0,0.074,0.003,0,0,0,0.143,0.014,0,0,0.031,0.001,0,0.002,0.018,0.001,0,0.094,0,0.076,0.057,0.011,0.014
244.978022,256,0.005,0,0.045,0,0,0,0,0.352,0,0,0,0.073,0.002,0,0,0,0.134,0.022,0,0,0.027,0.001,0.001,0.002,0.017,0.002,0,0.083,0,0.086,0.062,0.017,0.015
245,255.895652,0.007,0,0.046,0,0,0,0,0.342,0,0,0,0.082,0.005,0,0,0,0.129,0.028,0,0,0.017,0.002,0.001,0.001,0.02,0,0,0.079,0,0.093,0.065,0.013,0.017
244.021739,251.228261,0.011,0,0.027,0,0,0,0,0.351,0,0,0,0.091,0.004,0,0,0,0.152,0.023,0,0,0.026,0,0,0.002,0.014,0.002,0,0.085,0,0.079,0.052,0.01,0.018
238.784483,244.568966,0.008,0,0.037,0,0,0,0,0.335,0,0,0,0.086,0.003,0,0,0,0.149,0.024,0,0,0.022,0.002,0.002,0.001,0.015,0,0,0.085,0,0.081,0.069,0.006,0.019
224.387097,230.483871,0.003,0,0.049,0,0,0,0,0.34,0,0,0,0.079,0,0,0,0,0.134,0.015,0,0,0.027,0.001,0.002,0.001,0.022,0,0,0.091,0,0.083,0.061,0.011,0.019
207.868421,213.070175,0,0,0.043,0,0,0,0,0.375,0,0,0,0.062,0.005,0,0,0,0.151,0.012,0,0,0.035,0,0.002,0.002,0.015,0.001,0,0.083,0,0.07,0.055,0.006,0.014
187.891304,193.815217,0.003,0,0.063,0,0,0,0,0.341,0,0,0,0.069,0,0,0,0,0.149,0.019,0,0,0.047,0.001,0.001,0.004,0.022,0.001,0,0.092,0,0.058,0.039,0.008,0.006
167.681416,172.690265,0.006,0,0.066,0,0,0,0,0.34,0,0,0,0.064,0.007,0,0,0,0.124,0.011,0,0,0.05,0.003,0.001,0.003,0.025,0.001,0,0.08,0,0.059,0.044,0.013,0.008
146.263736,148.186813,0.002,0,0.073,0,0,0,0,0.262,0,0,0,0.055,0.008,0,0,0,0.107,0.014,0,0,0.066,0.001,0,0.002,0.044,0,0,0.052,0,0.056,0.039,0.015,0.009
124.070796,126.840708,0.001,0,0.076,0,0,0,0,0.24,0,0,0,0.057,0.006,0,0,0,0.104,0.008,0,0,0.06,0.002,0.005,0.004,0.047,0.001,0,0.051,0,0.053,0.047,0.009,0.012
100.87234,103.085106,0.001,0,0.108,0,0,0,0,0.26,0,0,0,0.047,0.009,0,0,0,0.098,0.009,0,0,0.059,0.002,0,0.002,0.06,0,0,0.052,0,0.047,0.041,0.022,0.01
79.590909,80.572727,0.002,0,0.088,0,0,0,0,0.246,0,0,0,0.054,0.007,0,0,0,0.109,0.011,0,0,0.064,0.007,0,0.01,0.063,0.001,0,0.059,0,0.052,0.054,0.015,0.005
48.305556,51.201389,0.005,0,0.085,0,0,0,0,0.26,0,0,0,0.057,0.016,0,0,0,0.097,0.017,0,0,0.061,0.001,0.001,0.003,0.057,0,0,0.045,0,0.07,0.035,0.017,0.017
21.932773,26.747899,0.005,0,0.084,0,0,0,0,0.259,0,0,0,0.064,0.015,0,0,0,0.092,0.012,0,0,0.068,0.002,0,0.005,0.067,0.001,0,0.041,0,0.065,0.038,0.023,0.011
5.036585,11,0.005,0,0.126,0,0,0,0,0.22,0,0,0,0.06,0.01,0,0,0,0.106,0.01,0,0,0.066,0.004,0.002,0.003,0.058,0.001,0,0.047,0,0.043,0.037,0.022,0.021
-8.216,1.44,0.009,0,0.119,0,0,0,0,0.243,0,0,0,0.062,0.017,0,0,0,0.084,0.016,0,0,0.08,0.003,0.001,0.008,0.056,0.002,0,0.044,0,0.046,0.042,0.017,0.012
-22.096386,-7.807229,0.006,0,0.11,0,0,0,0,0.224,0,0,0,0.066,0.021,0,0,0,0.085,0.012,0,0,0.082,0.004,0,0.008,0.064,0.001,0,0.034,0,0.042,0.049,0.023,0.022
-32.814516,-14.653226,0.002,0,0.106,0,0,0,0,0.227,0,0,0,0.079,0.02,0,0,0,0.093,0.007,0,0,0.085,0.001,0,0.01,0.07,0.002,0,0.037,0,0.065,0.047,0.018,0.02
-41.609756,-17.987805,0.003,0,0.113,0,0,0,0,0.273,0,0,0,0.067,0.009,0,0,0,0.07,0.01,0,0,0.077,0.004,0.002,0.005,0.064,0,0,0.032,0,0.064,0.056,0.033,0.022
-48.959677,-21.766129,0.002,0,0.114,0,0,0,0,0.273,0,0,0,0.076,0.013,0,0,0,0.081,0.018,0,0,0.073,0.002,0.003,0.006,0.055,0,0,0.041,0,0.063,0.041,0.026,0.021
-55,-23,0.006,0,0.105,0,0,0,0,0.255,0,0,0,0.087,0.011,0,0,0,0.085,0.022,0,0,0.064,0.003,0.003,0.004,0.053,0.002,0,0.044,0,0.079,0.049,0.016,0.023
-57.752066,-23,0.005,0,0.097,0,0,0,0,0.271,0,0,0,0.089,0.019,0,0,0,0.093,0.012,0,0.001,0.073,0.002,0.003,0.004,0.056,0,0,0.042,0,0.069,0.051,0.017,0.018
-58,-23,0.005,0,0.101,0,0,0,0,0.265,0,0,0,0.074,0.017,0,0,0,0.095,0.014,0,0,0.075,0.005,0.003,0.005,0.063,0,0,0.046,0,0.063,0.047,0.021,0.022
-60.065574,-23,0.005,0,0.104,0,0,0,0,0.26,0,0,0,0.075,0.012,0,0,0,0.089,0.014,0,0,0.075,0.007,0.002,0.004,0.06,0,0,0.041,0,0.069,0.05,0.029,0.023
-59.22093,-22.651163,0.008,0,0.095,0,0,0,0,0.259,0,0,0,0.074,0.015,0,0,0,0.089,0.014,0,0,0.078,0.005,0.001,0.006,0.053,0,0,0.037,0,0.065,0.053,0.024,0.023
-57.566667,-20,0.005,0,0.114,0,0,0,0,0.241,0,0,0,0.072,0.01,0,0,0,0.08,0.018,0,0,0.079,0.005,0,0.005,0.053,0.001,0,0.044,0,0.072,0.041,0.032,0.021
-55.576471,-20,0.008,0,0.109,0,0,0,0,0.267,0,0,0,0.075,0.016,0,0,0,0.102,0.013,0,0,0.065,0.006,0,0.006,0.052,0.002,0,0.034,0,0.059,0.038,0.022,0.018
-50.041322,-23.14876,0.006,0,0.127,0,0,0,0,0.26,0,0,0,0.074,0.013,0,0,0,0.076,0.014,0,0,0.071,0.001,0.003,0.002,0.05,0.001,0,0.048,0,0.072,0.044,0.019,0.02
-40.136364,-30.806818,0.007,0,0.131,0,0,0,0,0.239,0,0,0,0.08,0.023,0,0,0,0.079,0.012,0,0,0.05,0.004,0.001,0.011,0.057,0.001,0,0.034,0,0.068,0.046,0.02,0.016
