xs,ys,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33
269.785714,-294.785714,0.001,0,0.024,0,0,0,0,0.22,0,0,0,0.033,0.001,0,0,0,0.114,0.007,0,0,0.009,0,0,0,0.011,0,0,0.059,0,0.03,0.018,0.002,0.003
274.551724,-298.146552,0,0,0.013,0,0,0,0,0.207,0,0,0,0.03,0.001,0,0,0,0.114,0.012,0,0,0.017,0,0,0,0.017,0.001,0,0.058,0,0.019,0.024,0.001,0.004
279.317073,-299,0.005,0,0.028,0,0,0,0,0.21,0,0,0,0.042,0.005,0,0,0,0.116,0.005,0,0,0.013,0.003,0.002,0.001,0.014,0.001,0,0.06,0,0.035,0.022,0.007,0.008
281,-299,0.004,0,0.028,0,0,0,0,0.227,0,0,0,0.049,0.003,0,0,0,0.12,0.012,0,0,0.022,0.001,0.001,0.001,0.017,0,0,0.065,0,0.042,0.021,0.009,0.004
283.162791,-297.430233,0.006,0,0.039,0,0,0,0,0.233,0,0,0,0.041,0.005,0,0,0,0.139,0.013,0,0,0.019,0.001,0,0.003,0.01,0,0,0.068,0,0.038,0.018,0.009,0.01
284.172414,-294.612069,0.007,0,0.041,0,0,0,0,0.232,0,0,0,0.045,0.003,0,0,0,0.145,0.017,0,0,0.026,0.002,0,0.001,0.013,0,0,0.075,0,0.034,0.018,0.003,0.006
284,-290.035294,0.008,0,0.028,0,0,0,0,0.257,0,0,0,0.04,0.002,0,0,0,0.152,0.015,0,0,0.017,0,0.001,0.003,0.013,0.003,0,0.065,0,0.047,0.018,0.007,0.006
283.466102,-286.101695,0.003,0,0.04,0,0,0,0,0.256,0,0,0,0.039,0.001,0,0,0,0.162,0.01,0,0,0.025,0.001,0,0.001,0.017,0,0,0.075,0,0.031,0.018,0.005,0.008
283.535714,-282.071429,0.006,0,0.031,0,0,0,0,0.255,0,0,0,0.047,0.002,0,0,0,0.157,0.02,0,0,0.028,0.001,0.001,0.001,0.018,0.001,0,0.067,0,0.043,0.013,0.005,0.007
281.333333,-276.957265,0.003,0,0.045,0,0,0,0,0.261,0,0,0,0.063,0.003,0,0,0,0.147,0.011,0,0,0.019,0,0.001,0.001,0.005,0,0,0.067,0,0.031,0.015,0.004,0.005
